eDose [e/cm2],SEY
8.03027E+14,1.560662505
1.11422E+15,1.560662505
1.52416E+15,1.553962683
2.11482E+15,1.547778233
2.93437E+15,1.547778233
4.04264E+15,1.529740253
5.60928E+15,1.514720874
7.72783E+15,1.498818002
1.06465E+16,1.489541326
1.46676E+16,1.463257412
2.03517E+16,1.436458127
2.80382E+16,1.402959022
3.86278E+16,1.374613624
5.35973E+16,1.344206744
7.43678E+16,1.300400221
1.01729E+17,1.26380889
1.41151E+17,1.226702188
1.95852E+17,1.189595486
2.67908E+17,1.164342314
3.7173E+17,1.140119883
5.12128E+17,1.125100504
7.05551E+17,1.109197632
9.748E+17,1.099920956
1.35835E+18,1.090644281
1.85811E+18,1.08445983
2.57818E+18,1.079821493
3.68065E+18,1.075183155
5.10701E+18,1.072606301
6.98594E+18,1.072606301
9.6932E+18,1.07209093
