Half-Gap [mm],SEY 1,SEY 1.1,SEY 1.2 ,SEY 1.3,SEY 1.4,SEY 1.5,SEY 1.6
4,2.12659E+11,2.92454E+11,4.65478E+11,1.08688E+12,2.8415E+13,4.33361E+16,9.75491E+16
6,2.18766E+11,2.99766E+11,4.78018E+11,1.1356E+12,3.74743E+13,4.6533E+16,1.06738E+17
8,2.27526E+11,3.17717E+11,5.16201E+11,1.36816E+12,2.7461E+14,6.13819E+16,1.27266E+17
10,2.41617E+11,3.44954E+11,6.05842E+11,2.06202E+12,1.03729E+16,9.05944E+16,1.61913E+17
15,2.94482E+11,4.81534E+11,1.27412E+12,5.39206E+14,9.4805E+16,1.84643E+17,2.66591E+17
20,3.61756E+11,7.22828E+11,6.76976E+12,6.12688E+16,1.75168E+17,2.71611E+17,3.67134E+17
25,4.42044E+11,1.3159E+12,1.16585E+16,1.24883E+17,2.46844E+17,3.58294E+17,4.71362E+17
30,5.57883E+11,4.42179E+12,4.01434E+16,1.79631E+17,3.14294E+17,4.4271E+17,5.73502E+17
35,6.99481E+11,3.6982E+14,7.39916E+16,2.2323E+17,3.7118E+17,5.17193E+17,6.66053E+17
40,8.28763E+11,4.0262E+15,9.7843E+16,2.49902E+17,4.0606E+17,5.65486E+17,7.29529E+17
45,9.37452E+11,6.44745E+15,1.08617E+17,2.59875E+17,4.18307E+17,5.84327E+17,7.57986E+17
50,9.97148E+11,8.85059E+15,1.04461E+17,2.58856E+17,4.14429E+17,5.7703E+17,7.49665E+17
