DOSe/cm2,H2,CH4,CO,CO2
1.34E+13,0.0326625,0.001466961,0.0115575,0.006693333
2.28E+13,0.03234,0.001449682,0.0115425,0.006576667
3.90E+13,0.03189,0.001424937,0.01153,0.006536667
6.66E+13,0.0315825,0.001402831,0.0114575,0.00644
1.14E+14,0.0311275,0.001378118,0.011425,0.00635
1.94E+14,0.0293675,0.00129371,0.0112225,0.006093333
3.32E+14,0.0268725,0.001186265,0.010825,0.005706667
5.66E+14,0.0238925,0.00104455,0.01015,0.00522
9.67E+14,0.0207325,0.00089523,0.00923,0.00463
1.65E+15,0.0174675,0.000742215,0.0080825,0.00398
2.82E+15,0.0144875,0.000595861,0.0068575,0.00332
4.82E+15,0.0118225,0.000471321,0.0056325,0.00273
8.23E+15,0.0094375,0.000361661,0.0044375,0.002166667
1.40E+16,0.0072,0.000259877,0.00308,0.001578909
2.40E+16,0.0054775,0.000191541,0.00241,0.001220288
4.10E+16,0.00415,0.000141125,0.0018375,0.000907256
7.00E+16,0.0031175,0.000101452,0.00137686,0.000664671
1.19E+17,0.002345,7.23492E-05,0.00103295,0.000487825
2.04E+17,0.001775,5.12563E-05,0.000778363,0.000360405
3.48E+17,0.001365,3.62884E-05,0.000591423,0.000272406
5.95E+17,0.00099326,2.52722E-05,0.00044162,0.000207247
1.02E+18,0.000723494,1.73717E-05,0.000322753,0.000147206
1.75E+18,0.00053548,1.18305E-05,0.000241401,0.000105682
2.96E+18,0.000418254,7.84272E-06,0.000170316,7.60345E-05
5.06E+18,0.000317149,5.21318E-06,0.0001329,6.26894E-05
8.56E+18,0.000244796,3.15428E-06,9.80242E-05,5.28648E-05
