%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_Segment =,[,%,1,0,0,0,2,0,0,0
in_d = [,[mm],%,91.63,0,0,0,91.63,0,0,0
in_L = [,[mm],%,3000,0,0,0,3000,0,0,0
in_dist_ref =,[[mm],%,3000,0,0,0,6000,0,0,0
in_T = [,[K],%,300,0,0,0,300,0,0,0
in_S = [ [l/s],(H2),%,1147.73,0,0,0,548.35,0,0,0
[l/s] (CH4),,%,0,1147.73,0,0,0,548.35,0,0
[l/s] (CO),,%,0,0,1147.73,0,0,0,548.35,0
[l/s] (CO2),,%,0,0,0,1147.73,0,0,0,548.35
in_g = [,[torrl/s],%,0,0,0,0,0,0,0,0
in_sigma = [,[m2],%,4.45E-23,0,0,0,4.45E-23,0,0,0
  ,,%,0,3.18E-22,0,0,0,3.18E-22,0,0
  ,,%,0,0,2.75E-22,0,0,0,2.75E-22,0
  ,,%,0,0,0,4.29E-22,0,0,0,4.29E-22
in_alpha =,[,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
in_alpha_p =,[,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
in_eta_i =,[,%,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
  ,,%,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
  ,,%,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
  ,,%,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
in_eta_p_i =,[,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
in_eta_e =,[,%,1.77E-03,1.77E-03,1.77E-03,1.77E-03,1.77E-03,1.77E-03,1.77E-03,1.77E-03
in_eta_p_e =,[,%,0,0,0,0,0,0,0,0
in_eta_ph =,[,%,1.50E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04
in_eta_p_ph =,[,%,0,0,0,0,0,0,0,0
in_Cbs = [,[l/s/m],%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
  ,,%,0,0,0,0,0,0,0,0
in_Qth =,[,%,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20,1.00E-20
in_n_e =,[,%,0,0,0,0,0,0,0,0
in_N_e = [,[e-/m/s],%,0,0,0,0,0,0,0,0
in_Gamma_ph[ph/m/s] ,,%,0,0,0,0,0,0,0,0
in_S_Nplus1 =[l/s],(H2),%,1147.73,0,0,0,0,0,0,0
[l/s] (CH4),,%,0,1147.73,0,0,0,0,0,0
[l/s] (CO),,%,0,0,1147.73,0,0,0,0,0
[l/s] (CO2),,%,0,0,0,1147.73,0,0,0,0
in_g_Nplus1 =[torrl/s],,%,0,0,0,0,0,0,0,0
